6003,7054123,barcode01
28102,48122967,barcode02
9376,16806822,barcode03
1586,2481482,barcode04
54264,101093087,barcode05
54210,100393406,barcode06
2903,5238536,barcode07
13391,22745245,barcode08
46765,92364343,barcode09
2273,4108571,barcode10
4182,7371002,barcode11
7148,10592243,barcode12
41306,77054043,barcode13
6733,11529557,barcode14
971,1727030,barcode15
2959,4984190,barcode16
42501,82130265,barcode17
23938,45739420,barcode18
11262,20989822,barcode19
3204,5456394,barcode20
22878,44410855,barcode21
14119,27120753,barcode22
1067,1958541,barcode23
1342,2220893,barcode24
4993,9379018,barcode25
20509,39470455,barcode26
753,894411,barcode27
23608,44822634,barcode28
9318,17756865,barcode29
2897,5009369,barcode30
3371,5815026,barcode31
4180,7121341,barcode32
19669,37490685,barcode33
41012,80186818,barcode34
5883,9750918,barcode35
33088,63519447,barcode36
37636,71969498,barcode37
436,192893,barcode38
2663,4766028,barcode39
2900,5074705,barcode40
19891,38452198,barcode41
53164,104395530,barcode42
35581,69480138,barcode43
45843,88036999,barcode44
54571,104552477,barcode45
4854,9022479,barcode46
1342,2569062,barcode47
1058,1630603,barcode48
80461,154375822,barcode49
105743,206137059,barcode50
64088,125711587,barcode51
73154,142721997,barcode52
107278,201701754,barcode53
11402,19868161,barcode54
5743,9247837,barcode55
27698,44036912,barcode56
36111,67769199,barcode57
66003,123516782,barcode58
18758,33014387,barcode59
30246,56055412,barcode60
40372,76814298,barcode61
3875,7288716,barcode62
6261,10273304,barcode63
3462,5428108,barcode64
61328,112163248,barcode65
42249,79115782,barcode66
16367,30790054,barcode67
56864,107237381,barcode68
95273,177121374,barcode69
98530,192261199,barcode70
3327,5798529,barcode71
8784,15785077,barcode72
28870,54582828,barcode73
18916,36269041,barcode74
12455,22167459,barcode75
6868,10021283,barcode76
4611,7927324,barcode77
1461,2065356,barcode78
3259,4955016,barcode79
47460,91198090,barcode80
27415,46608355,barcode81
40930,67541419,barcode82
15730,26981735,barcode83
509,265401,barcode84
67194,123847655,barcode85
34287,64616976,barcode86
2517,3917981,barcode87
52019,97329643,barcode88
5988,4031146,barcode89
60450,107165877,barcode90
15971,27686835,barcode91
4828,8298924,barcode92
58852,112446239,barcode93
22074,41874370,barcode94
37090,68240931,barcode95
39508,77236416,barcode96
3020713,4918475160,unclassified
