barcode50,104388
barcode70,97108
barcode53,105324
unclassified,2137524
barcode69,92694
barcode52,71867
barcode49,79434
barcode51,62959
barcode06,53006
barcode68,55860
barcode90,58326
barcode93,58392
barcode61,39672
barcode85,65002
barcode42,52693
barcode37,36991
barcode36,32468
barcode65,59191
barcode05,53216
barcode09,46313
barcode44,45184
barcode88,50630
barcode80,46288
barcode95,35670
barcode96,38939
barcode21,22485
barcode66,41723
barcode34,40588
barcode45,53706
barcode82,38036
barcode57,35484
barcode58,64854
barcode17,41820
barcode18,23492
barcode86,33654
barcode02,26636
barcode73,28097
barcode60,29456
barcode33,19206
barcode28,23153
barcode81,25030
barcode43,34603
barcode94,21665
barcode41,19390
barcode74,18511
barcode22,13755
barcode67,15578
barcode03,8920
barcode83,14054
barcode56,25621
barcode13,40450
barcode54,10894
barcode29,9079
barcode19,10657
barcode08,12581
barcode14,6286
barcode62,3731
barcode46,4694
barcode26,20155
barcode07,2758
barcode35,5082
barcode63,5880
barcode79,2587
barcode72,7824
barcode01,5029
barcode77,4114
barcode59,17856
barcode89,5260
barcode12,6386
barcode11,3830
barcode47,1311
barcode20,2905
barcode71,3000
barcode92,4682
barcode55,5097
barcode75,11461
barcode39,2563
barcode91,15445
barcode76,5747
barcode40,2650
barcode64,3135
barcode87,2261
barcode23,1037
barcode24,1117
barcode48,867
barcode84,63
barcode25,4811
barcode16,2669
barcode31,3186
barcode30,2564
barcode78,1079
barcode27,444
barcode04,1332
barcode32,3833
barcode10,2145
barcode38,22
barcode15,900
